title,genre,premiere,runtime,imdb_score,language,year
The Knight Before Christmas,Romantic comedy,2019-11-21,92.0,5.5,English,2019
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,2018-07-06,83.0,5.5,English,2018
The Package,Black comedy,2018-08-10,94.0,5.5,English,2018
Unicorn Store,Comedy,2019-04-05,92.0,5.5,English,2019
Wine Country,Comedy,2019-05-10,103.0,5.5,English,2019
Bomb Scared,Black comedy,2017-10-12,89.0,5.6,Spanish/Basque,2017
Brahman Naman,Comedy,2016-07-07,95.0,5.6,English,2016
Double Dad,Comedy-drama,2021-01-15,103.0,5.6,Portuguese,2021
Falling Inn Love,Romantic comedy,2019-08-29,97.0,5.6,English,2019
Hold the Dark,Thriller,2018-09-28,125.0,5.6,English,2018
"Love, Guaranteed",Romantic comedy,2020-09-03,91.0,5.6,English,2020
One-Way to Tomorrow,Romance,2020-06-19,90.0,5.6,Turkish,2020
Sarah Cooper: Everything's Fine,Variety show,2020-10-27,49.0,5.6,English,2020
The Last Laugh,Comedy-drama,2019-01-11,98.0,5.6,English,2019
The Last Paradiso,Romantic drama,2021-02-05,107.0,5.6,Italian,2021
The Midnight Sky,Science fiction,2020-12-23,118.0,5.6,English,2020
The Paramedic,Thriller,2020-09-16,94.0,5.6,Spanish,2020
The Sleepover,Comedy,2020-08-21,103.0,5.6,English,2020
Vampires vs. the Bronx,Horror comedy,2020-10-02,86.0,5.6,English,2020
Why Did You Kill Me?,Documentary,2021-04-14,83.0,5.6,English,2021
A Week Away,Christian musical,2021-03-26,97.0,5.7,English,2021
Caught by a Wave,Romantic teen drama,2021-03-25,99.0,5.7,Italian,2021
Christmas Inheritance,Romantic drama,2017-12-15,104.0,5.7,English,2017
Dad Wanted,Family,2020-09-11,102.0,5.7,Spanish,2020
El Camino Christmas,Dark comedy,2017-12-08,89.0,5.7,English,2017
Eli,Horror,2019-10-18,98.0,5.7,English,2019
Ginny Weds Sunny,Romantic comedy,2020-10-09,125.0,5.7,Hindi,2020
Good Sam,Drama,2019-05-16,89.0,5.7,English,2019
Lionheart,Comedy,2019-01-04,94.0,5.7,English,2019
Little Evil,Comedy horror,2017-09-01,94.0,5.7,English,2017
One Take,Documentary,2020-06-18,85.0,5.7,Thai,2020
"Out of Many, One",Documentary,2018-12-12,34.0,5.7,English,2018
Point Blank,Action,2019-07-12,86.0,5.7,English,2019
Prime Time,Thriller,2021-04-14,91.0,5.7,Polish,2021
The Do-Over,Action comedy,2016-05-27,108.0,5.7,English,2016
The Holiday Calendar,Romantic comedy,2018-11-02,95.0,5.7,English,2018
The Woman in the Window,Psychological thriller,2021-05-14,100.0,5.7,English,2021
The Wrong Missy,Comedy,2020-05-13,90.0,5.7,English,2020
Velvet Buzzsaw,Thriller,2019-02-01,112.0,5.7,English,2019
Yes Day,Comedy,2021-03-12,86.0,5.7,English,2021
15-Aug,Comedy-drama,2019-03-29,124.0,5.8,Marathi,2019
A California Christmas,Romantic comedy,2020-12-14,107.0,5.8,English,2020
A Christmas Prince,Romantic comedy,2017-11-17,92.0,5.8,English,2017
All Day and a Night,Drama,2020-05-01,121.0,5.8,English,2020
American Son,Drama,2019-11-01,90.0,5.8,English,2019
Barry,Biopic,2016-12-16,104.0,5.8,English,2016
Candy Jar,Comedy,2018-04-27,92.0,5.8,English,2018
Choked: Paisa Bolta Hai,Drama,2020-06-05,114.0,5.8,Hindi,2020
Class of '83,Drama,2020-08-21,98.0,5.8,Hindi,2020
Extinction,Science fiction/Thriller,2018-07-27,95.0,5.8,English,2018
Happy Anniversary,Romantic comedy,2018-03-30,78.0,5.8,English,2018
I Am All Girls,Thriller,2021-05-14,107.0,5.8,English,2021
Let It Snow,Romantic comedy,2019-11-08,92.0,5.8,English,2019
Mascots,Mockumentary,2016-10-13,95.0,5.8,English,2016
Operation Christmas Drop,Romantic comedy,2020-11-05,96.0,5.8,English,2020
Rajma Chawal,Comedy-drama,2018-11-30,118.0,5.8,Hindi,2018
Rich in Love,Romantic comedy,2020-04-30,105.0,5.8,Portuguese,2020
Rising High,Satire,2020-04-17,94.0,5.8,German,2020
Rodney King,One-man show,2017-04-28,52.0,5.8,English,2017
Sierra Burgess Is a Loser,Romantic comedy-drama,2018-09-07,105.0,5.8,English,2018
Small Crimes,Dark comedy,2017-04-28,95.0,5.8,English,2017
Special Correspondents,Satire,2016-04-29,100.0,5.8,English,2016
TAU,Science fiction/Thriller,2018-06-29,97.0,5.8,English,2018
The After Party,Comedy,2018-08-24,89.0,5.8,English,2018
The Babysitter: Killer Queen,Comedy/Horror,2020-09-10,102.0,5.8,English,2020
The Claus Family,Fantasy,2020-12-07,96.0,5.8,Dutch,2020
The Kissing Booth 2,Romantic comedy,2020-07-24,131.0,5.8,English,2020
The Perfect Date,Romantic comedy,2019-04-12,89.0,5.8,English,2019
What We Wanted,Drama,2020-11-11,93.0,5.8,German,2020
You've Got This,Romantic comedy,2020-10-02,111.0,5.8,Spanish,2020
6 Balloons,Drama,2018-04-06,75.0,5.9,English,2018
A Fall from Grace,Thriller,2020-01-17,120.0,5.9,English,2020
Amateur,Sports-drama,2018-04-06,96.0,5.9,English,2018
Army of the Dead,Zombie/Heist,2021-05-21,148.0,5.9,English,2021
Cam,Psychological horror,2018-11-16,94.0,5.9,English,2018
Earthquake Bird,Mystery,2019-11-15,107.0,5.9,English,2019
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,2019-07-16,32.0,5.9,English,2019
Horse Girl,Drama,2020-02-07,104.0,5.9,English,2020
Notes from Dunblane: Lesson from a School Shooting,Documentary,2018-09-28,23.0,5.9,English,2018
Maska,Romantic comedy,2020-03-27,111.0,5.9,Hindi,2020
The Decline,Thriller,2020-03-27,83.0,5.9,French,2020
The Minimalists: Less Is Now,Documentary,2021-01-01,53.0,5.9,English,2021
The Polka King,Comedy-drama,2018-01-12,95.0,5.9,English,2018
The Prom,Musical,2020-12-11,132.0,5.9,English,2020
True Memoirs of an International Assassin,Action comedy,2016-11-11,98.0,5.9,English,2016
